Paul Ammann, George Mason University, USA
David Basin, ETH Zurich, Switzerland
Birgit Baum-Waidner, IBM Research, Switzerland
Elisa Bertino, Università di Milano, Italy
Piero Bonatti, Università di Napoli, Italy
Marc Dacier, Eurécom, France
Sabrina De Capitani di Vimercati, Università di Milano, Italy
Drew Dean, SRI International Computer Science Lab, USA
Hervé Debar, France Telecom R&D, France
Hannes Federrath, Universität Regensburg, Germany
Matthias Fitzi, University of California Davis, USA
Simon Foley, University College Cork, Irland
Yair Frankel, TechTegrity, USA
Juan Garay, Bell Labs - Lucent Technologies, USA
Hugo Krawczyk, Technion, Israel, and IBM Research, USA
Markus Kuhn, University of Cambridge, UK
Helmut Kurth, Atsec Information Security, Germany
Brian LaMacchia, Microsoft, USA
Peeter Laud, Tartu University, Estonia
Ninghui Li, Purdue University, USA
Helger Lipmaa, Helsinki University of Technology, Finland
Gavin Lowe, Oxford University, UK
Teresa Lunt, Palo Alto Research Center, USA
Phil MacKenzie, Bell Labs - Lucent Technologies,USA
Hiroshi Maruyama, IBM Research, Japan
Ueli Maurer, ETH Zurich, Switzerland
Ludovic Mé, Supélec, France
Catherine Meadows, Naval Research Laboratory, USA
John Mitchell, Stanford University, USA
Andrew Myers, Cornell University, USA
Chanathip Namprempre, Thammasat University, Thailand
Peter G. Neumann, SRI International Computer Science Lab, USA
Pekka Nikander, Ericsson Research, Finland
Tatsuaki Okamoto, NTT Research, Japan
Vern Paxson, ICSI / LBNL, USA
Adrian Perrig, Carnegie Mellon University, USA
David Pointcheval, CNRS-ENS, France
Joachim Posegga, SAP and University of Hamburg,Germany
Josyula R. Rao, IBM Research, USA
Indrakshi Ray, Colorado State University, USA
Juha Röning, University of Oulu, Finland
Michaël Rusinowitch, INRIA Lorraine, France
Peter Ryan, University of Newcastle, UK
Rei Safavi-Naini, University of Wollongong, Australia
Tomas Sander, Hewlett-Packard, USA
Andre Scedrov, University of Pennsylvania, USA
Steve Schneider, Royal Holloway, UK
Matthias Schunter, IBM Research, Switzerland
Jonathan Shapiro, Johns Hopkins University, USA
Morris Sloman, Imperial College London, UK
Dawn Song, Carnegie Mellon University, USA
Gene Tsudik, University of California Irvine, USA
Els Van Herreweghen, IBM Research, Switzerland
Serge Vaudenay, EPFL Lausanne, Switzerland
Dennis Volpano, Cranite Systems Inc., USA
Dan Wallach, Rice University, USA 
