Tuomas Aura, Microsoft Research, UK
David Basin, ETH Zürich, Switzerland
Josh Benaloh, Microsoft Research, USA
Marc Dacier, Eurecom, France 
Hervé Debar, France Télécom R&D, France
Cédric Fournet, Microsoft Research, UK
Virgil Gligor, University of Maryland, USA
Trent Jaeger, IBM Research, USA
Richard Kemmerer, University of California, Santa Barbara, USA
Markus Kuhn, University of Cambridge, UK
Heiko Mantel, DFKI, Germany
John McHugh, CERT, USA
John McLean, Naval Research Laboratory, USA
Catherine Meadows, Naval Research Laboratory, USA
John Mitchell, Stanford University, USA
Andrew Myers, Cornell University, USA
Vern Paxson, ICSI and LBNL, USA
Birgit Pfitzmann, IBM Research, Switzerland
Bart Preneel, Katholieke Universiteit Leuven, Belgium
Mike Reiter, Carnegie Mellon University, USA
Avi Rubin, Johns Hopkins University, USA
Pierangela Samarati, Università degli Studi di Milano, Italy
Christoph Schuba, Sun Microsystems, USA
Jonathan Shapiro, Johns Hopkins University, USA
Michael Steiner, IBM Research, USA
Paul Syverson, Naval Research Laboratory, USA
Jonathan Trostle, Security Research Consultant, USA
Gene Tsudik, University of California, Irvine, USA
David Wagner, University of California, Berkeley, USA
Michael Waidner, IBM Research, Switzerland
Dan Wallach, Rice University, USA
Andreas Wespi, IBM Research, Switzerland
Avishai Wool, Tel Aviv University, Israel
