Giuseppe Ateniese, Johns Hopkins University
Michael Backes, Saarland University / Max Planck Institute for Software Systems
Adam Barth, University of California, Berkeley 
Nikita Borisov, University of Illinois at Urbana-Champaign 
David Brumley, Carnegie Mellon University 
Cristian Cadar, Imperial College London 
Shuo Chen, Microsoft Research Redmond 
Anupam Datta, Carnegie Mellon University 
Nick Feamster, Georgia Institute of Technology 
Debin Gao, Singapore Management University 
Jonathon Giffin, Georgia Institute of Technology
Virgil Gligor, Carnegie Mellon University 
Michael Goodrich, University of California, Irvine 
J. Alex Halderman, University of Michigan 
Somesh Jha, University of Wisconsin 
Rob Johnson, Stony Brook University 
Engin Kirda, Eurecom, France 
Yoshi Kohno, University of Washington 
Shriram Krishnamurthi, Brown University 
Christopher Kruegel, University of California, Santa Barbara 
Ruby Lee, Princeton University 
Michael Locasto, George Mason University 
Sergio Maffeis, Imperial College London 
Z. Morley Mao, University of Michigan 
Jonathan McCune, Carnegie Mellon University 
David Molnar, Microsoft Research Redmond 
Cristina Nita-Rotaru, Purdue University 
Vern Paxson, University of California, Berkeley 
Mike Reiter, University of North Carolina 
Andrei Sabelfeld, Chalmers University 
Stuart Schechter, Microsoft Research Redmond 
Hovav Shacham, University of California, San Diego 
Vitaly Shmatikov, University of Texas at Austin 
Radu Sion, Stony Brook University 
Sean Smith, Dartmouth College 
Adam Smith, Pennsylvania State University 
Dawn Song, University of California, Berkeley 
Angelos Stavrou, George Mason University
Ed Suh, Cornell University 
Patrick Traynor, Georgia Institute of Technology 
Venkat Venkatakrishnan, University of Illinois at Chicago 
Dan Wallach, Rice University 
Brent Waters, University of Texas at Austin 
Westley Weimer, University of Virginia 
XiaoFeng Wang, Indiana University 
Felix Wu, University of California, Davis 
Dongyan Xu, Purdue University 
Haifeng Yu, National University of Singapore 
Sencun Zhu, Pennsylvania State University
David Evans, University of Virginia 
Giovanni Vigna, University of California, Santa Barbara
